varID;fr;en;unit
Z;COTE Z;ELEVATION Z;M
U;VITESSE U;VELOCITY U;M/S
V;VITESSE V;VELOCITY V;M/S
W;VITESSE W;VELOCITY W;M/S
NUX;NUX POUR VITESSE;NUX FOR VELOCITY;M2/S
NUY;NUY POUR VITESSE;NUY FOR VELOCITY;M2/S
NUZ;NUZ POUR VITESSE;NUZ FOR VELOCITY;M2/S
K;ENERGIE TURBULEN;TURBULENT ENERGY;JOULE/KG
EPS;DISSIPATION;DISSIPATION;WATT/KG
RI;NB DE RICHARDSON;RICHARDSON NUMB;
RHO;DENSITE RELATIVE;RELATIVE DENSITY;
DP;PRESSION DYNAMIQ;DYNAMIC PRESSURE;PA
PH;PRESSION HYDROST;HYDROSTATIC PRES;PA
UCONV;U CONVECTION;U ADVECTION;M/S
VCONV;V CONVECTION;V ADVECTION;M/S
WCONV;W CONVECTION;W ADVECTION;M/S
DM1;DM1;DM1;
DHHN;DHHN;DHHN;M
UCONVC;UCONVC;UCONVC;M/S
VCONVC;VCONVC;VCONVC;M/S
UD;UD;UD;M/S
VD;VD;VD;M/S
WD;WD;WD;M/S
M;VITESSE SCALAIRE;SCALAR VELOCITY;M/S
NU;NU POUR VITESSE;NU FOR VELOCITY;M2/S
