"varID","fr","en","unit"
"Z","COTE Z          ","ELEVATION Z     ","M               "
"U","VITESSE U       ","VELOCITY U      ","M/S             "
"V","VITESSE V       ","VELOCITY V      ","M/S             "
"W","VITESSE W       ","VELOCITY W      ","M/S             "
"NUX","NUX POUR VITESSE","NUX FOR VELOCITY","M2/S            "
"NUY","NUY POUR VITESSE","NUY FOR VELOCITY","M2/S            "
"NUZ","NUZ POUR VITESSE","NUZ FOR VELOCITY","M2/S            "
"K","ENERGIE TURBULEN","TURBULENT ENERGY","JOULE/KG        "
"EPS","DISSIPATION     ","DISSIPATION     ","WATT/KG         "
"RI","NB DE RICHARDSON","RICHARDSON NUMB ","                "
"RHO","DENSITE RELATIVE","RELATIVE DENSITY","                "
"DP","PRESSION DYNAMIQ","DYNAMIC PRESSURE","PA              "
"TA1","TRACEUR 1       ","????????????????","????????????????"
"NAX1","NUX TRACEUR 1   ","????????????????","????????????????"
"NAY1","NUY TRACEUR 1   ","????????????????","????????????????"
"NAZ1","NUZ TRACEUR 1   ","????????????????","????????????????"
"P1","PRIVE 1         ","????????????????","????????????????"
"P2","PRIVE 2         ","????????????????","????????????????"
